trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
128,False,"{'a': 0.5, 'e': 0.35999999999999943}",20,14,-18.004361176320394,"{0: 4, 1: 1, 2: 0, 3: 1, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.3549999999999994}",20,15,4.151783767431265,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.3499999999999994}",20,0,4.9536702044790655,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
131,False,"{'a': 0.5, 'e': 0.3449999999999994}",30,2,10.636428611765911,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.3399999999999994}",20,0,-10.059485131834329,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
133,False,"{'a': 0.5, 'e': 0.3349999999999994}",20,0,11.34213215219426,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
134,False,"{'a': 0.5, 'e': 0.3299999999999994}",25,3,-53.09135243211704,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 1}",1
135,False,"{'a': 0.5, 'e': 0.3249999999999994}",25,12,14.315425543733783,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.3199999999999994}",20,3,-47.662047270430634,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
137,False,"{'a': 0.5, 'e': 0.3149999999999994}",20,10,-11.611805014412372,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.3099999999999994}",20,16,9.430440394773804,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.3049999999999994}",30,1,-15.74539546828521,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 1}",1
140,False,"{'a': 0.5, 'e': 0.2999999999999994}",20,14,-2.4809798301884065,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.2949999999999994}",35,5,-34.99835517985878,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",1
142,False,"{'a': 0.5, 'e': 0.28999999999999937}",20,7,21.025600529234353,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.28499999999999936}",20,4,11.043414795210609,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.27999999999999936}",25,8,-9.800677219145246,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
145,False,"{'a': 0.5, 'e': 0.27499999999999936}",30,15,17.06754791986648,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.26999999999999935}",25,18,13.047029831630734,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.26499999999999935}",30,21,-3.36935070659955,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.25999999999999934}",20,10,18.543330001261374,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.25499999999999934}",25,16,14.730814626202307,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.24999999999999933}",20,11,-36.12323312027012,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
151,False,"{'a': 0.5, 'e': 0.24499999999999933}",30,9,-22.73380853895681,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 1}",1
152,False,"{'a': 0.5, 'e': 0.23999999999999932}",20,4,-14.478116640401844,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
153,False,"{'a': 0.5, 'e': 0.23499999999999932}",20,9,14.464633835402296,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.22999999999999932}",30,9,-36.59442901054745,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 1}",1
155,False,"{'a': 0.5, 'e': 0.2249999999999993}",20,9,1.5124660798017657,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.2199999999999993}",20,8,14.639070257256792,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.2149999999999993}",20,0,19.3539731490626,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
158,False,"{'a': 0.5, 'e': 0.2099999999999993}",30,10,26.835832514649425,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.2049999999999993}",25,5,28.109394311937542,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.1999999999999993}",25,10,17.392395933501298,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.19499999999999929}",30,16,26.723651350981964,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.18999999999999928}",20,8,0.4837250215995057,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.18499999999999928}",20,16,6.502488024295035,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.17999999999999927}",20,12,14.083639634711622,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.17499999999999927}",30,2,4.616286797868736,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.16999999999999926}",25,18,14.725275428902215,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.16499999999999926}",20,14,-0.4247624063825648,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.15999999999999925}",20,9,16.920475551809698,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.15499999999999925}",25,14,19.6118079468055,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.14999999999999925}",30,21,17.845048729456085,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.14499999999999924}",25,13,17.861916461014953,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
